Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),EWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,ael1,47.25,120.4,1183,1939,2013,74,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.320316522,,0.793469,0,475.643,1,47,0.96,0.103669432,0.095329352,0.142164771,0.197536198,0.227957744,0.520229869,0.036319723,0.01804981,16.1090782,2.002505925,10.86028754
usa,ak006,63.67,-149.58,750,1554,1983,429,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.137166042,-4.295330766,0.366216526,17,183.5167987,6,85,-0.215773634,0.148290013,0.131071666,0.357813069,0.120601036,0.479486488,0.358073398,0.06181901,0.044621918,22.70630192,2.536187951,24.64739889
usa,ak007,61.33,-149.58,100,1770,1983,213,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.191038079,-4.295330766,0.183108263,,344.1238039,1,64,0.512660847,0.230382071,0.131639602,0.376393816,0.129647138,0.430657444,0.390631947,0.053951476,0.038942719,16.6769065,1.90980017,13.84365591
usa,ak008,60.5,-149.5,100,1664,1983,319,PCSI,Gymnosperm,Pinaceae,Picea,Picea sitchensis,Humid,0.200905245,-3.85,0.183108263,20,16.32390682,6,85,0.523283892,0.235637692,0.178798645,0.414934431,0.157694521,0.289051835,0.639624252,0.052207267,0.040482012,20.61669716,1.976031038,17.66334906
usa,ak009,62.83,-143.92,600,1696,1983,287,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.158969834,-4.295330766,0.091554131,,92.05776142,2,24,0.435403984,0.126304898,0.335772144,0.309660323,0.140202006,8.051872292,0.517937123,0.054893666,0.044114939,23.13249385,2.711629246,23.60585483
usa,ak010,61.83,-147.33,960,1654,1983,329,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.147629206,-4.295330766,0.656137942,,110.4501422,6,85,,0.153974478,0.219122047,0.447840676,0.163886191,0.313367547,0.720865176,0.053893399,0.037314436,24.91031237,2.676896689,24.50899658
usa,ak011,61.33,-145.25,300,1792,1983,191,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.144512216,-4.295330766,0.183108263,,0,6,85,0.28165468,0.175808186,0.158069311,0.571765355,0.159966752,0.331776166,0.551799282,0.0536969,0.039773558,18.89694046,2.253922308,22.21906471
usa,ak012,62.83,-141.33,600,1795,1983,188,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Arid,0.250561912,-4.295330766,0.381475547,16,397.9045087,1,55,0.494756742,0.132716793,0.229035013,0.997399864,0.148205076,0.56229547,0.361243635,0.051029314,0.035176474,16.9513556,2.033407898,15.49282595
usa,ak013,64.83,-148.17,99,1769,1983,214,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Arid,0.172603299,-4.295330766,1.037613489,15,530.2717001,1,24,0.376980942,0.128746065,0.148350004,0.296327947,0.131443834,0.919471819,0.280854696,0.058731445,0.037980193,10.48938013,1.671957496,6.779539916
usa,al002,31.02,-87.25,63,1814,1995,181,PIPA,Gymnosperm,Pinaceae,Pinus,Pinus palustris,Humid,0.174979671,,4.50141146,21,265.3717231,1,14,,0.08481329,0.025174678,0.138819947,0.110944551,0.503790096,15.54941944,0.028489797,0.016443912,14.32763558,1.306009552,11.00773781
