Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),LWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,ael1,47.25,120.4,1183,1939,2013,74,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.298841818,,0.793469,0,475.643,1,47,0.96,0.095329352,0.077504773,0.197536198,0.308107155,0.520229869,1.644202454,0.01804981,0.029423313,16.1090782,2.002505925,10.86028754
usa,ak006,63.67,-149.58,750,1554,1983,429,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.084853655,-4.295330766,0.366216526,17,183.5167987,6,85,-0.181719255,0.131071666,0.113508876,0.120601036,0.188314119,0.358073398,1.774509366,0.044621918,0.031017453,22.70630192,2.536187951,24.64739889
usa,ak007,61.33,-149.58,100,1770,1983,213,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.160227631,-4.295330766,0.183108263,,344.1238039,1,64,0.489893312,0.131639602,0.096090984,0.129647138,0.184816451,0.390631947,0.927401904,0.038942719,0.023079056,16.6769065,1.90980017,13.84365591
usa,ak008,60.5,-149.5,100,1664,1983,319,PCSI,Gymnosperm,Pinaceae,Picea,Picea sitchensis,Humid,0.13756401,-3.85,0.183108263,20,16.32390682,6,85,0.462539097,0.178798645,0.114124773,0.157694521,0.217065072,0.639624252,0.856713673,0.040482012,0.023568604,20.61669716,1.976031038,17.66334906
usa,ak009,62.83,-143.92,600,1696,1983,287,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.104050278,-4.295330766,0.091554131,,92.05776142,2,24,0.372155616,0.335772144,0.216536933,0.140202006,0.196896121,0.517937123,1.096962488,0.044114939,0.027846742,23.13249385,2.711629246,23.60585483
usa,ak010,61.83,-147.33,960,1654,1983,329,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.086006496,-4.295330766,0.656137942,,110.4501422,6,85,,0.219122047,0.148990942,0.163886191,0.182351875,0.720865176,1.270816836,0.037314436,0.022310486,24.91031237,2.676896689,24.50899658
usa,ak011,61.33,-145.25,300,1792,1983,191,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Humid,0.131507384,-4.295330766,0.183108263,,0,6,85,0.162595545,0.158069311,0.12165424,0.159966752,0.17066501,0.551799282,0.958744227,0.039773558,0.024406614,18.89694046,2.253922308,22.21906471
usa,ak012,62.83,-141.33,600,1795,1983,188,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Arid,0.135298908,-4.295330766,0.381475547,16,397.9045087,1,55,0.469619822,0.229035013,0.1722399,0.148205076,0.223474798,0.361243635,0.691968314,0.035176474,0.027496725,16.9513556,2.033407898,15.49282595
usa,ak013,64.83,-148.17,99,1769,1983,214,PCGL,Gymnosperm,Pinaceae,Picea,Picea glauca,Arid,0.151077753,-4.295330766,1.037613489,15,530.2717001,1,24,0.169956353,0.148350004,0.13800048,0.131443834,0.216099985,0.280854696,2.040042905,0.037980193,0.025791376,10.48938013,1.671957496,6.779539916
usa,al002,31.02,-87.25,63,1814,1995,181,PIPA,Gymnosperm,Pinaceae,Pinus,Pinus palustris,Humid,0.199376402,,4.50141146,21,265.3717231,1,14,,0.025174678,0.0323069,0.110944551,0.166394848,15.54941944,4.460937768,0.016443912,0.028649582,14.32763558,1.306009552,11.00773781
